,predict,real,D-value
2018-01-04,180.4987668991089,185.710007,5.211240100891104
2018-01-05,184.3092918395996,190.699997,6.390705160400387
2018-01-08,186.05045080184937,190.330002,4.279551198150642
2018-01-09,188.4258508682251,190.800003,2.374152131774906
2018-01-10,190.07949829101562,189.789993,-0.2895052910156153
2018-01-11,189.9823546409607,188.75,-1.2323546409606934
2018-01-12,190.02658128738403,187.789993,-2.2365882873840235
2018-01-16,189.49187994003296,182.399994,-7.091885940032967
2018-01-17,189.00902271270752,183.830002,-5.179020712707512
2018-01-18,184.8827838897705,184.399994,-0.4827898897705154
2018-01-19,184.24296379089355,184.050003,-0.1929607908935509
2018-01-22,184.61474180221558,184.020004,-0.594737802215576
2018-01-23,184.8225712776184,192.279999,7.4574277223815955
2018-01-24,184.27492380142212,195.529999,11.255075198577885
2018-01-25,190.48445224761963,198.330002,7.8455497523803785
2018-01-26,195.0007677078247,205.220001,10.21923329217529
2018-01-29,198.17328453063965,203.00999499999998,4.836710469360327
2018-01-30,201.81148052215576,199.660004,-2.1514765221557752
2018-01-31,202.82855033874512,204.28999299999998,1.461442661254864
2018-02-01,200.62739849090576,192.220001,-8.407397490905765
2018-02-02,202.22852230072021,187.309998,-14.918524300720208
2018-02-05,196.78797721862793,180.529999,-16.257978218627926
2018-02-06,190.92689752578735,185.169998,-5.756899525787361
2018-02-07,183.9682698249817,180.300003,-3.6682668249816857
2018-02-08,185.64828634262085,173.699997,-11.948289342620853
2018-02-09,182.20657110214233,176.669998,-5.536573102142341
2018-02-12,177.49171257019043,177.440002,-0.05171057019043701
2018-02-13,176.25041007995605,179.25,2.9995899200439453
2018-02-14,178.36525440216064,186.759995,8.394740597839359
2018-02-15,179.4511079788208,187.449997,7.998889021179195
2018-02-16,184.75205898284912,183.679993,-1.072065982849125
2018-02-20,187.9225730895996,187.190002,-0.7325710895996167
2018-02-21,186.10986471176147,188.820007,2.7101422882385293
2018-02-22,186.7319107055664,188.75,2.0180892944335938
2018-02-23,188.34638595581055,193.289993,4.943607044189463
2018-02-26,189.3244504928589,194.190002,4.865551507141106
2018-02-27,192.02888011932373,188.259995,-3.768885119323727
2018-02-28,194.23729181289673,186.139999,-8.09729281289674
2018-03-01,191.39233827590942,181.990005,-9.402333275909427
2018-03-02,187.86001205444336,179.759995,-8.100017054443356
2018-03-05,184.25415754318237,181.600006,-2.6541515431823655
2018-03-06,181.93397521972656,187.369995,5.436019780273426
2018-03-07,181.8276286125183,189.050003,7.222374387481693
2018-03-08,186.0326886177063,187.179993,1.1473043822936972
2018-03-09,189.10882472991943,190.550003,1.4411782700805702
2018-03-12,188.82346153259277,192.740005,3.916543467407223
2018-03-13,190.0241494178772,188.410004,-1.6141454178772108
2018-03-14,192.6745057106018,192.559998,-0.11450771060179932
2018-03-15,190.64431190490723,199.059998,8.41568609509278
2018-03-16,191.92345142364502,200.27999900000003,8.356547576355013
2018-03-19,196.8343734741211,194.529999,-2.30437447412109
2018-03-20,200.2500295639038,198.949997,-1.3000325639038124
2018-03-21,197.40461111068726,195.300003,-2.104608110687252
2018-03-22,198.44775199890137,184.649994,-13.797757998901375
2018-03-23,196.78629636764526,181.199997,-15.586299367645267
2018-03-26,189.86306190490723,190.5,0.6369380950927734
2018-03-27,183.82128477096558,181.889999,-1.9312857709655873
2018-03-28,188.4859323501587,178.910004,-9.575928350158705
2018-03-29,184.88630056381226,183.539993,-1.3463075638122461
2018-04-02,181.42578601837158,177.610001,-3.815785018371571
2018-04-03,182.02228546142578,174.669998,-7.352287461425789
2018-04-04,180.52603006362915,172.070007,-8.456023063629146
2018-04-05,177.27482318878174,172.570007,-4.704816188781734
2018-04-06,173.82797002792358,167.520004,-6.307966027923584
2018-04-09,173.25401306152344,169.869995,-3.3840180615234488
2018-04-10,170.0969099998474,177.100006,7.0030960001525955
2018-04-11,170.34398317337036,175.360001,5.01601782662965
2018-04-12,174.3755578994751,175.919998,1.5444401005248949
2018-04-13,176.81857347488403,172.03999299999995,-4.77858047488408
2018-04-16,176.30517482757568,174.699997,-1.6051778275756874
2018-04-17,173.55306148529053,178.699997,5.146935514709469
2018-04-18,174.75202083587646,182.679993,7.927972164123531
2018-04-19,177.50933170318604,181.389999,3.8806672968139537
2018-04-20,182.18541145324707,179.110001,-3.075410453247059
2018-04-23,182.18262195587158,175.570007,-6.612614955871578
2018-04-24,181.30369186401367,173.089996,-8.213695864013658
2018-04-25,177.2194504737854,170.220001,-6.999449473785404
2018-04-26,175.20122528076172,173.899994,-1.3012312807617263
2018-04-27,172.08222150802612,177.160004,5.077782491973863
2018-04-30,173.37493896484375,178.53999299999995,5.165054035156203
2018-05-01,176.32757425308228,179.5,3.1724257469177246
2018-05-02,179.04518842697144,181.449997,2.4048085730285607
2018-05-03,179.7141432762146,182.449997,2.7358537237853966
2018-05-04,181.61630630493164,188.889999,7.273692695068348
2018-05-07,182.68201351165771,195.350006,12.667992488342293
2018-05-08,186.89907789230347,196.309998,9.41092010769654
2018-05-09,192.0289397239685,195.429993,3.40105327603149
2018-05-10,195.05841732025146,195.960007,0.9015896797485254
2018-05-11,195.08575201034546,194.360001,-0.7257510103454479
2018-05-14,195.36079168319702,198.639999,3.2792073168029674
2018-05-15,194.84364986419678,196.610001,1.7663511358032338
2018-05-16,197.33105897903442,198.110001,0.7789420209655873
2018-05-17,197.59904146194458,196.020004,-1.57903746194458
2018-05-18,199.02766942977905,195.0,-4.027669429779053
2018-05-21,197.21388816833496,197.639999,0.42611083166502794
2018-05-22,196.5301752090454,195.869995,-0.6601802090454214
2018-05-23,197.1693992614746,196.800003,-0.3693962614746056
2018-05-24,197.33577966690063,197.369995,0.034215333099353984
2018-05-25,197.21232652664185,199.199997,1.9876704733581505
2018-05-29,197.88506031036377,198.0,0.11493968963623047
2018-05-30,199.5100498199463,197.979996,-1.5300538199462892
2018-05-31,198.97935390472412,198.009995,-0.9693589047241176
2018-06-01,198.99998903274536,204.33999600000004,5.340006967254681
2018-06-04,198.47800731658936,208.949997,10.47198968341064
2018-06-05,203.45299243927002,208.36999499999996,4.917002560729941
2018-06-06,207.68721103668213,208.300003,0.6127919633178749
2018-06-07,209.32555198669434,203.619995,-5.705556986694347
2018-06-08,208.8109016418457,205.070007,-3.740894641845699
2018-06-11,206.1943531036377,205.69999700000002,-0.4943561036376707
2018-06-12,205.81238269805908,209.080002,3.2676193019409254
2018-06-13,205.98225593566895,206.61999499999996,0.637739064331015
2018-06-14,209.3116044998169,210.860001,1.5483965001831166
2018-06-15,208.1876516342163,208.0,-0.1876516342163086
2018-06-18,211.1354112625122,208.570007,-2.565404262512203
2018-06-19,209.17870998382568,204.42999299999997,-4.748716983825716
2018-06-20,209.93309020996094,206.22999599999997,-3.703094209960966
2018-06-21,206.06005191802979,202.210007,-3.850044918029795
2018-06-22,207.07039833068848,202.009995,-5.060403330688473
2018-06-25,203.80845069885254,191.25,-12.558450698852539
2018-06-26,203.48505973815918,191.419998,-12.065061738159187
2018-06-27,195.3685164451599,185.020004,-10.348512445159912
2018-06-28,193.73046159744263,188.380005,-5.350456597442616
2018-06-29,188.11087608337402,185.529999,-2.5808770833740198
2018-07-02,189.46516513824463,186.360001,-3.105164138244618
2018-07-03,186.4814043045044,184.75,-1.7314043045043945
2018-07-05,187.37192153930664,186.880005,-0.4919165393066294
2018-07-06,185.34163236618042,192.270004,6.92837163381958
2018-07-09,187.48165369033813,192.75,5.268346309661865
2018-07-10,190.44115543365479,192.550003,2.1088475663452186
2018-07-11,193.75592470169067,187.419998,-6.335926701690681
2018-07-12,193.36354732513428,190.169998,-3.193549325134285
2018-07-13,189.9247407913208,190.039993,0.11525220867920893
2018-07-16,190.29724597930908,190.350006,0.05276002069092556
2018-07-17,190.41112661361694,192.660004,2.248877386383043
2018-07-18,191.38855934143066,190.789993,-0.5985663414306543
2018-07-19,192.38603115081787,187.339996,-5.046035150817858
2018-07-20,192.5324559211731,187.25,-5.282455921173096
2018-07-23,189.07359838485718,187.039993,-2.033605384857168
2018-07-24,188.28736543655396,189.0,0.7126345634460449
2018-07-25,187.74765729904175,197.979996,10.232338700958252
2018-07-26,189.00223970413208,194.179993,5.177753295867916
2018-07-27,195.8518385887146,189.419998,-6.431840588714607
2018-07-30,196.263587474823,184.820007,-11.443580474822994
2018-07-31,192.38735437393188,187.229996,-5.157358373931885
2018-08-01,187.15754747390747,185.270004,-1.8875434739074706
2018-08-02,188.0598545074463,182.600006,-5.4598485074462815
2018-08-03,186.53826713562012,180.839996,-5.698271135620104
2018-08-06,184.39226150512695,178.619995,-5.772266505126964
2018-08-07,181.51984214782715,179.919998,-1.599844147827156
2018-08-08,180.39183616638184,177.520004,-2.871832166381836
2018-08-09,180.5907964706421,177.190002,-3.400794470642097
2018-08-10,178.98844480514526,180.009995,1.0215501948547399
2018-08-13,177.94923782348633,177.679993,-0.26924482348633205
2018-08-14,179.3728470802307,172.529999,-6.842848080230709
2018-08-15,178.83671522140503,169.830002,-9.006713221405022
2018-08-16,174.94707107543945,171.990005,-2.9570660754394567
2018-08-17,171.76597118377686,172.779999,1.0140278162231482
2018-08-20,172.25022315979004,176.28999299999995,4.039769840209914
2018-08-21,173.05489778518677,177.919998,4.865100214813225
2018-08-22,175.7014274597168,177.850006,2.1485785402832107
2018-08-23,177.83849239349365,172.229996,-5.6084963934936525
2018-08-24,178.85444164276123,174.229996,-4.624445642761231
2018-08-27,174.45075511932373,180.649994,6.199238880676262
2018-08-28,174.65733289718628,178.190002,3.5326691028137134
2018-08-29,178.6086916923523,178.5,-0.10869169235229492
2018-08-30,179.96116876602173,174.600006,-5.361162766021721
2018-08-31,179.37119007110596,175.009995,-4.3611950711059535
2018-09-04,176.3263463973999,170.440002,-5.88634439739991
2018-09-05,175.9329080581665,164.229996,-11.702912058166504
2018-09-06,172.6712703704834,159.869995,-12.80127537048341
2018-09-07,167.5985813140869,162.369995,-5.228586314086925
2018-09-10,162.25301027297974,156.360001,-5.893009272979725
2018-09-11,162.9495620727539,157.46000700000005,-5.489555072753859
2018-09-12,158.9630126953125,161.46000700000005,2.496994304687547
2018-09-13,158.31193923950195,165.529999,7.2180597604980505
2018-09-14,160.0301742553711,164.740005,4.709830744628903
2018-09-17,164.83746767044067,158.889999,-5.947468670440685
2018-09-18,164.9630069732666,156.649994,-8.31301297326661
2018-09-19,161.41153573989868,162.630005,1.2184692601013296
2018-09-20,158.07862281799316,165.880005,7.801382182006847
2018-09-21,161.60563230514526,164.630005,3.0243726948547476
2018-09-24,164.9153232574463,163.160004,-1.7553192574463026
2018-09-25,165.96550941467285,164.25,-1.7155094146728516
2018-09-26,164.40308094024658,165.399994,0.9969130597534104
2018-09-27,164.48590755462646,166.320007,1.834099445373539
2018-09-28,165.5279278755188,164.759995,-0.7679328755187953
2018-10-01,166.44175052642822,162.0,-4.441750526428223
2018-10-02,165.74983596801758,160.229996,-5.519839968017578
2018-10-03,163.59944343566895,162.369995,-1.2294484356689566
2018-10-04,161.45638227462769,156.130005,-5.326377274627674
2018-10-05,162.36488819122314,154.630005,-7.734883191223133
2018-10-08,158.4767460823059,151.139999,-7.336747082305919
2018-10-09,156.10345602035522,146.940002,-9.163454020355232
2018-10-10,152.73830890655518,138.28999299999998,-14.448315906555194
2018-10-11,149.6981978416443,141.899994,-7.798203841644295
2018-10-12,142.3635959625244,147.28999299999995,4.926397037475539
2018-10-15,142.352294921875,144.160004,1.8077090781249865
2018-10-16,145.40880918502808,149.600006,4.191196814971931
2018-10-17,145.52175998687744,148.139999,2.6182390131225475
2018-10-18,147.81566858291626,142.020004,-5.79566458291626
2018-10-19,148.5681414604187,142.929993,-5.638148460418705
2018-10-22,144.7823405265808,148.800003,4.017662473419193
2018-10-23,143.5183048248291,146.649994,3.131689175170891
2018-10-24,147.0106840133667,139.610001,-7.400683013366688
2018-10-25,147.54599332809448,144.600006,-2.945987328094475
2018-10-26,142.5866723060608,142.869995,0.28332269393919773
2018-10-29,143.19846630096436,133.380005,-9.818461300964344
2018-10-30,143.4280514717102,136.330002,-7.098049471710198
2018-10-31,137.66272068023682,142.279999,4.617278319763187
